,site_name,site_id,site_type,region,strand,transcript_name,transcript_id
6199,ybgIp2,TU0-8455,Promoters,"(742798, 742798)",+,ybgIJKL-nei,TU0-8455
6200,ydbJp,TU0-8698,Promoters,"(1441029, 1441029)",+,ydbJ,TU0-8698
6201,lplAp2,PM0-46110,Promoters,"(4624238, 4624238)",-,,
6202,argEp1,TU00226,Promoters,"(4154897, 4154897)",-,argE,TU00226
6203,ilvAp,TU0-6651,Promoters,"(3955235, 3955235)",+,ilvA,TU0-6651
6204,rlmFp7,PM0-44631,Promoters,"(842224, 842224)",+,,
6205,ynfAp7,PM0-44994,Promoters,"(1655679, 1655679)",-,,
6206,yheOp1,TU0-13915,Promoters,"(3476506, 3476506)",-,yheO-tusDCB,TU0-13915
6207,alaXp2,PM0-45358,Promoters,"(2518279, 2518279)",-,,
6208,yrdBp1,PM0-45726,Promoters,"(3430062, 3430062)",-,,
6209,bssSp2,TU0-8352,Promoters,"(1121032, 1121032)",-,bssS,TU0-8352
6210,ampD,TU00237,Promoters,"(118703, 118703)",+,ampDE,TU00237
6211,yjiYp3,PM0-46094,Promoters,"(4591347, 4591347)",-,,
6212,entHp,TU0-14617,Promoters,"(629292, 629292)",+,entH,TU0-14617
6213,recFp2,TU0-3302,Promoters,"(3881861, 3881861)",-,recF,TU0-3302
6214,pglp2,PM0-44616,Promoters,"(798539, 798539)",+,,
6215,dcpp3,PM0-44978,Promoters,"(1627422, 1627422)",-,,
6216,yjeFp1,TU00236,Promoters,"(4393677, 4393677)",+,yjeFE-amiB-mutL-miaA-hfq-hflXKC,TU00236
6217,gssp,TU0-13819,Promoters,"(3138610, 3138610)",-,gss,TU0-13819
6218,intSp5,PM0-45342,Promoters,"(2466513, 2466513)",+,,
6219,tldDp6,PM0-45710,Promoters,"(3392075, 3392075)",-,,
6220,dinQp,TU0-8263,Promoters,"(3647982, 3647982)",-,dinQ,TU0-8263
6221,yhiMp,TU0-8586,Promoters,"(3634743, 3634743)",+,yhiM,TU0-8586
6222,yjhGp4,PM0-46078,Promoters,"(4524226, 4524226)",-,,
6223,ampHp2,TU0-14612,Promoters,"(396319, 396319)",-,ampH,TU0-14612
6224,rlmEp2,TU00414,Promoters,"(3327731, 3327731)",-,rlmE-ftsH,TU00414
6225,ybgEp4,PM0-44601,Promoters,"(774150, 774150)",+,,
6226,ydeNp3,PM0-44962,Promoters,"(1582729, 1582729)",-,,
6227,nikRp,TU685,Promoters,"(3618537, 3618537)",+,nikR,TU685
6228,ffhp,TU0-13680,Promoters,"(2747853, 2747853)",-,ffh,TU0-13680
6229,gadCp5,PM0-44959,Promoters,"(1570527, 1570527)",-,,
6230,dcuAp1,TU621,Promoters,"(4366843, 4366843)",-,dcuA,TU621
6231,yfgMp3,TU0-14648,Promoters,"(2639370, 2639370)",-,yfGM,TU0-14648
6232,yfbRp3,TU0-13580,Promoters,"(2408831, 2408831)",+,yfbR,TU0-13580
6233,fadHp,TU0-13853,Promoters,"(3231624, 3231624)",+,fadH,TU0-13853
6234,yhcFp4,PM0-45691,Promoters,"(3366843, 3366843)",+,,
6235,phePp,TU0-8149,Promoters,"(601929, 601929)",+,pheP,TU0-8149
6236,yjgBp8,PM0-46059,Promoters,"(4496349, 4496349)",-,,
6237,ykgMp,TU0-12881,Promoters,"(312805, 312805)",-,ykgMO,TU0-12881
6238,grpEp,TU00411,Promoters,"(2750747, 2750747)",-,grpE,TU00411
6239,hscCp5,PM0-44581,Promoters,"(683482, 683482)",-,,
6240,rnpBp,TU543,Promoters,"(3270592, 3270592)",-,rnpB,TU543
6241,yddJp1,PM0-44948,Promoters,"(1544866, 1544866)",-,,
6242,metGp1,TU0-13519,Promoters,"(2194269, 2194269)",+,metG,TU0-13519
6243,yfbKp3,PM0-45307,Promoters,"(2385784, 2385784)",-,,
6244,cydAp5,TU0-3163,Promoters,"(771368, 771368)",+,cydAB,TU0-3163
6245,yhbXp6,PM0-45675,Promoters,"(3321651, 3321651)",-,,
6246,lsrAp,TU0-7861,Promoters,"(1601460, 1601460)",+,lsrACDBFG-tam,TU0-7861
6247,yjgAp5,PM0-46043,Promoters,"(4458081, 4458081)",-,,
6248,mutLp1,TU0-14562,Promoters,"(4397100, 4397100)",+,mutL-miaA-hfq-hflXKC,TU0-14562
6249,micFp1,TU0-2644,Promoters,"(2313084, 2313084)",+,micF,TU0-2644
6250,rlpAp5,PM0-44565,Promoters,"(665222, 665222)",-,,
6251,rncp,TU00332,Promoters,"(2704223, 2704223)",-,rnc-era; rnc-era-recO-pdxJ-acpS,TU00332; TU483
6252,ydcSp9,PM0-44932,Promoters,"(1511453, 1511453)",+,,
6253,ptrBp,TU0-13435,Promoters,"(1928865, 1928865)",-,ptrB,TU0-13435
6254,yfaEp1,PM0-45291,Promoters,"(2348341, 2348341)",+,,
6255,fhuEp,TU0-2581,Promoters,"(1161647, 1161647)",-,fhuE,TU0-2581
6256,nohAp,TU0-7681,Promoters,"(1636603, 1636603)",-,nohA-stfQ-tfaQ,TU0-7681
6257,rsmIp6,PM0-45662,Promoters,"(3293393, 3293393)",-,,
6258,yjfPp5,PM0-46027,Promoters,"(4416935, 4416935)",+,,
6259,ydeOp,TU0-7743,Promoters,,-,ydeO,TU0-7743
6260,katEp,TU0-6507,Promoters,"(1813814, 1813814)",+,katE,TU0-6507
6261,ybdRp6,PM0-44549,Promoters,"(641922, 641922)",+,,
6262,gadAp,TU586,Promoters,"(3667607, 3667607)",-,gadAX,TU586
6263,ydcIp4,PM0-44916,Promoters,"(1495117, 1495117)",-,,
6264,tqsAp,TU0-8532,Promoters,"(1673890, 1673890)",+,tqsA,TU0-8532
6265,yejKp5,PM0-45276,Promoters,"(2284109, 2284109)",-,,
6266,mfdp2,TU0-2082,Promoters,"(1173992, 1173992)",-,mfd,TU0-2082
6267,yacCp,TU00359,Promoters,"(136940, 136940)",-,yacC-speED,TU00359
6268,yhaKp5,PM0-45646,Promoters,"(3254269, 3254269)",+,,
6269,basSp4,PM0-46011,Promoters,"(4333477, 4333477)",-,,
6270,deoAp,TU0-14537,Promoters,,+,deoABD,TU0-14537
6271,phoHp1,TU864,Promoters,"(1084865, 1084865)",+,phoH,TU864
6272,ybcWp7,PM0-44533,Promoters,"(579844, 579844)",+,,
6273,pstSp2,TU0-45216,Promoters,"(3911568, 3911568)",-,pstSCAB-phoU; pstS; pstSCA,TU0-45216; TU0-45215; TU0-45214
6274,kdsAp,TU306,Promoters,"(1267854, 1267854)",+,kdsA,TU306
6275,ydbHp9,PM0-44900,Promoters,"(1442900, 1442900)",+,,
6276,acnAp3,TU0-14625,Promoters,"(1335827, 1335827)",+,acnA,TU0-14625
6277,setBp2,PM0-45261,Promoters,"(2263713, 2263713)",+,,
6278,pspFp1,TU0-1802,Promoters,"(1367945, 1367945)",-,pspF,TU0-1802
6279,waaQp,TU0-7162,Promoters,"(3808180, 3808180)",-,rfaQGPSBIJYZ-waaU,TU0-7162
6280,alxp5,PM0-45630,Promoters,"(3238371, 3238371)",+,,
6281,yjcDp7,PM0-45995,Promoters,"(4278314, 4278314)",+,,
6282,yjfKp,TU0-14154,Promoters,,+,yjfKLMC,TU0-14154
6283,umpHp,TU0-6652,Promoters,"(700352, 700352)",-,umpH,TU0-6652
6284,sfmAp4,PM0-44517,Promoters,"(558062, 558062)",+,,
6285,rrsGp,TU0-45198,Promoters,"(2731448, 2731448)",-,rrsG-gltW-rrlG-rrfG,TU0-45198
6286,gltXp1,TU0-6551,Promoters,"(2520784, 2520784)",-,gltX,TU0-6551
6287,ydaSp4,PM0-44884,Promoters,"(1420260, 1420260)",+,,
6288,matPp,TU0-8677,Promoters,"(1018459, 1018459)",+,matP,TU0-8677
6289,yohDp2,PM0-45246,Promoters,"(2225763, 2225763)",+,,
6290,motRp,TU00303,Promoters,"(1977302, 1977302)",-,motRAB-cheAW,TU00303
6291,agaRp,TU0-6582,Promoters,"(3278703, 3278703)",-,agaR,TU0-6582
6292,tsaDp3,PM0-45614,Promoters,"(3210568, 3210568)",-,,
6293,yjaAp3,PM0-45979,Promoters,"(4213224, 4213224)",+,,
6294,nrdGp,TU0-14501,Promoters,,-,nrdG,TU0-14501
6295,proSp,TU0-6562,Promoters,"(218837, 218837)",-,proS,TU0-6562
6296,ybaPp6,PM0-44501,Promoters,"(508284, 508284)",-,,
6297,cyaRp3,TU0-45185,Promoters,"(2167114, 2167114)",+,cyaR,TU0-45185
6298,putAp,TU355,Promoters,"(1078925, 1078925)",-,putA,TU355
6299,mppAp5,PM0-44868,Promoters,"(1393054, 1393054)",+,,
6300,ftnBp1,TU-8438,Promoters,"(1986775, 1986775)",+,ftnB,TU-8438
6301,yehEp7,PM0-45231,Promoters,"(2192880, 2192880)",-,,
6302,rrsDp2,TU0-1192,Promoters,"(3428940, 3428940)",-,rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF,TU0-1192
6303,ynfEp,TU0-5481,Promoters,"(1658003, 1658003)",+,ynfEFGH-dmsD,TU0-5481
6304,ygiNp2,PM0-45598,Promoters,"(3173078, 3173078)",+,,
6305,yiiQp4,PM0-45963,Promoters,"(4112312, 4112312)",-,,
6306,yfhLp,TU0-13669,Promoters,,+,yfhL,TU0-13669
6307,eddp,TU00227,Promoters,"(1934713, 1934713)",-,edd-eda,TU00227
6308,ffsp5,PM0-44485,Promoters,"(476399, 476399)",+,,
6309,rrsAp,TU0-45165,Promoters,"(4035239, 4035239)",+,rrsA-ileT-alaT-rrlA-rrfA,TU0-45165
6310,damp2,TU876,Promoters,"(3515982, 3515982)",-,dam-rpe-gph-trpS,TU876
6311,pgpBp8,PM0-44852,Promoters,"(1339182, 1339182)",+,,
6312,fliEp1,TU-8408,Promoters,"(2013036, 2013036)",-,fliE,TU-8408
6313,yegIp8,PM0-45215,Promoters,"(2150999, 2150999)",-,,
6314,dmsAp2,TU0-1122,Promoters,"(940878, 940878)",+,dmsABC,TU0-1122
6315,metAp2,TU0-5061,Promoters,"(4214159, 4214159)",+,metA,TU0-5061
6316,ygiQp5,PM0-45582,Promoters,"(3161182, 3161182)",-,,
6317,yihVp3,PM0-45947,Promoters,"(4073661, 4073661)",+,,
6318,yafDp,TU0-12840,Promoters,"(231064, 231064)",+,yafDE,TU0-12840
6319,speAp,TU00204,Promoters,"(3086048, 3086048)",-,speAB,TU00204
6320,yaiIp3,PM0-44469,Promoters,"(405723, 405723)",+,,
6321,pdeLp3,TU0-45142,Promoters,"(332043, 332043)",+,pdeL,TU0-45142
6322,napFp1,TU00305,Promoters,"(2303574, 2303574)",-,napFDAGHBC-ccmABCDEFGH,TU00305
6323,yciEp7,PM0-44836,Promoters,"(1315321, 1315321)",-,,
6324,recCp,TU-8388,Promoters,"(2962507, 2962507)",-,recC,TU-8388
6325,insHp4,PM0-45199,Promoters,"(2103093, 2103093)",-,,
6326,lpxLp,TU0-901,Promoters,"(1116709, 1116709)",-,lpxL,TU0-901
6327,csrCp,TU0-4822,Promoters,"(4051036, 4051036)",+,csrC,TU0-4822
6328,yghQp8,PM0-45566,Promoters,"(3132523, 3132523)",-,,
6329,yihFp1,PM0-45931,Promoters,"(4044175, 4044175)",+,,
6330,ygbFp,TU0-14469,Promoters,"(2878915, 2878915)",-,ygbF,TU0-14469
6331,fprp,TU00188,Promoters,"(4114499, 4114499)",-,fpr,TU00188
6332,yahNp6,PM0-44453,Promoters,"(346436, 346436)",-,,
6333,nanYp2,TU0-44209,Promoters,"(4505260, 4505260)",+,nanY,TU0-44209
6334,metYp2,TU0-8476,Promoters,"(3318375, 3318375)",-,metY; metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp,TU0-8476; TU341
6335,rdlCp3,PM0-44820,Promoters,"(1270391, 1270391)",+,,
6336,yeeOp6,PM0-45183,Promoters,"(2059875, 2059875)",-,,
6337,ykfBp2,TU0-14803,Promoters,"(266227, 266227)",-,ykfBF-yafX-ykfGH-yafW-ykfI,TU0-14803
6338,gntRp4,TU0-4523,Promoters,"(3578880, 3578880)",-,gntR,TU0-4523
6339,yggLp3,PM0-45550,Promoters,"(3102254, 3102254)",-,,
6340,rarDp3,PM0-45915,Promoters,"(4004258, 4004258)",-,,
6341,wzap2,TU0-14452,Promoters,"(2137193, 2137193)",-,wzbc,TU0-14452
6342,glnHp2,TU00172,Promoters,"(848047, 848047)",-,glnHPQ,TU00172
6343,ykgCp4,PM0-44439,Promoters,"(320170, 320170)",-,,
6344,psiFp,TU0-44195,Promoters,"(403231, 403231)",+,psiF,TU0-44195
6345,pheVp,TU00501,Promoters,"(3110365, 3110365)",+,pheV,TU00501
6346,nhaBp7,PM0-44805,Promoters,"(1234767, 1234767)",-,,
6347,yedIp3,PM0-45167,Promoters,"(2029370, 2029370)",-,,
6348,greAp1,TU0-14794,Promoters,"(3328864, 3328864)",-,greA,TU0-14794
6349,stfZp3,TU0-198687,Promoters,"(105499, 105499)",-,stfZ,TU0-198687
6350,yqfAp10,PM0-45534,Promoters,"(3043364, 3043364)",-,,
6351,phoUp2,PM0-45899,Promoters,"(3907646, 3907646)",-,,
6352,sbcDp,TU0-12917,Promoters,"(416977, 416977)",-,sbcDC,TU0-12917
6353,narXp,TU00156,Promoters,"(1277777, 1277777)",-,narXL,TU00156
6354,ykgJp2,PM0-44424,Promoters,"(304258, 304258)",-,,
6355,clpSp,TU0-14357,Promoters,"(922751, 922751)",+,clpS,TU0-14357
6356,srlRp,TU0-7042,Promoters,"(2828860, 2828860)",+,srlR,TU0-7042
6357,mcrAp9,PM0-44789,Promoters,"(1210323, 1210323)",+,,
6358,uspCp9,PM0-45151,Promoters,"(1979591, 1979591)",+,,
6359,glmYp2,TU0-14775,Promoters,"(2691340, 2691340)",-,glmY,TU0-14775
6360,hdeDp2,TU0-45279,Promoters,"(3656960, 3656960)",+,hdeD,TU0-45279
6361,ygeWp1,PM0-45518,Promoters,"(3006224, 3006224)",+,,
6362,yicOp1,PM0-45883,Promoters,"(3843957, 3843957)",-,,
6363,aptp,TU0-12947,Promoters,"(491310, 491310)",+,apt,TU0-12947
6364,hnsp,TU00139,Promoters,"(1292958, 1292958)",-,hns,TU00139
6365,mmuPp5,PM0-44408,Promoters,"(275287, 275287)",+,,
6366,mdtJp,TU0-13343,Promoters,"(1673779, 1673779)",-,mdtUJI,TU0-13343
6367,glgCp3,TU00470,Promoters,"(3569571, 3569571)",-,glgCAP,TU00470
6368,ymfIp1,PM0-44773,Promoters,"(1201440, 1201440)",+,,
6369,ruvBp4,PM0-45135,Promoters,"(1945544, 1945544)",-,,
6370,yjcCp,TU0-8609,Promoters,"(4275418, 4275418)",+,yjcC,TU0-8609
6371,mtnp2,TU0-45264,Promoters,"(179183, 179183)",-,mnt-btuF-yadS,TU0-45264
6372,yqeGp8,PM0-45502,Promoters,"(2985819, 2985819)",+,,
6373,yibBp9,PM0-45867,Promoters,"(3793730, 3793730)",-,,
6374,secEp,TU00354,Promoters,"(4177177, 4177177)",+,secE-nusG,TU00354
6375,glgCp1,TU00122,Promoters,"(3569389, 3569389)",-,glgCAP,TU00122
6376,yafTp4,PM0-44392,Promoters,"(237235, 237235)",+,,
6377,yajGp,TU0-12927,Promoters,"(454210, 454210)",-,yajG; yajG-ampG,TU0-12927; TU0-42605
6378,ftsQp2,TU0-3941,Promoters,"(102742, 102742)",+,ftsQ,TU0-3941
6379,lolCp6,PM0-44757,Promoters,"(1175374, 1175374)",+,,
6380,yebWp3,PM0-45119,Promoters,"(1921957, 1921957)",+,,
6381,citCp2,TU0-14750,Promoters,"(652039, 652039)",-,citCDEFXG,TU0-14750
6382,mlrAp2,TU0-45249,Promoters,"(2214840, 2214840)",+,mlrA,TU0-45249
6383,amiCp6,PM0-45486,Promoters,"(2949189, 2949189)",-,,
6384,yiaUp9,PM0-45851,Promoters,"(3751975, 3751975)",+,,
6385,dapBp2,TU0-14399,Promoters,"(28288, 28288)",+,dapB,TU0-14399
6386,fumAp,TU0-42499,Promoters,"(1688440, 1688440)",-,fumAC; fumA,TU0-42499; TU00104
6387,frrp6,PM0-44376,Promoters,"(192849, 192849)",+,,
6388,mrpp,TU0-13518,Promoters,"(2194203, 2194203)",-,mrp,TU0-13518
6389,rpoSp,TU00442,Promoters,"(2868118, 2868118)",-,rpoS,TU00442
6390,yceFp7,PM0-44741,Promoters,"(1146628, 1146628)",-,,
6391,pabBp7,PM0-45103,Promoters,"(1894628, 1894628)",+,,
6392,yjeVp,TU0-14738,Promoters,"(4392736, 4392736)",+,yjeV,TU0-14738
6393,osmYp2,TU0-45234,Promoters,"(4611153, 4611153)",+,osmY,TU0-45234
6394,ygcWp11,PM0-45470,Promoters,"(2900409, 2900409)",-,,
6395,yiaDp4,PM0-45835,Promoters,"(3716356, 3716356)",+,,
6396,fadEp,TU0-8793,Promoters,"(243406, 243406)",-,fadE,TU0-8793
6397,glnBp2,TU00089,Promoters,"(2687503, 2687503)",-,glnB,TU00089
6398,yadDp4,PM0-44360,Promoters,"(146959, 146959)",+,,
6399,ralAp,TU0-42572,Promoters,"(1413556, 1413556)",+,ralA,TU0-42572
6400,hscBp,TU00423,Promoters,"(2659524, 2659524)",-,hscBA-fdx-iscX,TU00423
6401,ymdAp7,PM0-44725,Promoters,"(1105330, 1105330)",+,,
6402,yeaOp3,PM0-45087,Promoters,"(1876822, 1876822)",+,,
6403,folEp,TU0-13539,Promoters,"(2243848, 2243848)",-,folE-yeiB,TU0-13539
6404,ygaZp8,PM0-45454,Promoters,"(2809595, 2809595)",+,,
6405,yhjRp5,PM0-45819,Promoters,"(3696356, 3696356)",-,,
6406,ftnBp2,TU0-14282,Promoters,"(1986799, 1986799)",+,ftnB,TU0-14282
6407,ahpCp1,TU00074,Promoters,"(638921, 638921)",+,ahpCF,TU00074
6408,caiEp7,PM0-44346,Promoters,"(35399, 35399)",-,,
6409,degSp,TU0-42561,Promoters,"(3382173, 3382173)",+,degS,TU0-42561
6410,htgAp1,TU00405,Promoters,"(10644, 10644)",+,htgA,TU00405
6411,torSp5,PM0-44709,Promoters,"(1056182, 1056182)",-,,
6412,ynjIp4,PM0-45071,Promoters,"(1844902, 1844902)",-,,
6413,mdtEp1,TU0-13964,Promoters,"(3659084, 3659084)",+,mdtEF,TU0-13964
6414,yfjIp8,PM0-45438,Promoters,"(2758881, 2758881)",+,,
6415,yhhIp6,PM0-45803,Promoters,"(3624173, 3624173)",+,,
6416,smfp,TU0-7282,Promoters,"(3433686, 3433686)",-,smf,TU0-7282
6417,yggNp1,TU0-4189,Promoters,"(3101798, 3101798)",-,yggN,TU0-4189
6418,agrAp,TU0-42529,Promoters,"(3648063, 3648063)",+,agrA,TU0-42529
6419,recAp,TU0-4525,Promoters,"(2823819, 2823819)",-,recAX; recA,TU0-4525; TU00062
6420,dadAp2,TU00255,Promoters,"(1237525, 1237525)",+,dadAX,TU00255
6421,yccTp5,PM0-44693,Promoters,"(1027797, 1027797)",-,,
6422,ydiYp12,PM0-45055,Promoters,"(1806170, 1806170)",-,,
6423,yliMp,TU0-14688,Promoters,"(850209, 850209)",+,yliM-ompX,TU0-14688
6424,yfiLp9,PM0-45422,Promoters,"(2741315, 2741315)",+,,
6425,yhhMp4,PM0-45787,Promoters,"(3605634, 3605634)",-,,
6426,pepDp3,TU0-8874,Promoters,"(255737, 255737)",-,pepD,TU0-8874
6427,srap,TU0-3901,Promoters,"(1556046, 1556046)",-,sra,TU0-3901
6428,lolAp,TU0-13079,Promoters,"(937328, 937328)",+,lolA-rarA,TU0-13079
6429,narKp1,TU00045,Promoters,"(1277932, 1277932)",+,narK,TU00045
6430,ackAp,TU00385,Promoters,"(2413459, 2413459)",+,ackA,TU00385
6431,ycaLp9,PM0-44677,Promoters,"(960238, 960238)",+,,
6432,rydBp1,PM0-45039,Promoters,"(1764930, 1764930)",-,,
6433,rraBp2,TU0-8617,Promoters,"(4478445, 4478445)",+,yjgD,TU0-8617
6434,yphBp2,PM0-45406,Promoters,"(2674795, 2674795)",-,,
6435,yhhXp5,TU0-3401,Promoters,"(3581016, 3581016)",-,ryhB,TU0-3401
6436,ysgAp,TU0-8661,Promoters,"(4016343, 4016343)",-,ysgA,TU0-8661
6437,yiiSp,TU0-3465,Promoters,"(4112869, 4112869)",+,yiiS-uspD,TU0-3465
6438,sdiAp1,TU0-42465,Promoters,"(1996917, 1996917)",-,sdiA,TU0-42465
6439,glpTQp,TU00216,Promoters,"(2352451, 2352451)",-,glpTQ,TU00216
6440,deoBp,TU0-6646,Promoters,"(4619567, 4619567)",+,deoBD,TU0-6646
6441,clpSp7,PM0-44661,Promoters,"(922912, 922912)",+,,
6442,ydhBp2,PM0-45023,Promoters,"(1739809, 1739809)",-,,
6443,dnaBp,TU0-14119,Promoters,"(4264283, 4264283)",+,dnaB,TU0-14119
6444,ispGp4,PM0-45390,Promoters,"(2641950, 2641950)",-,,
6445,hslOp3,PM0-45755,Promoters,"(3529733, 3529733)",+,,
6446,rplLp,TU0-8464,Promoters,,+,rplL,TU0-8464
6447,yfgGp,TU0-13647,Promoters,"(2629252, 2629252)",+,yfgG,TU0-13647
6448,insC-5p,TU0-13843,Promoters,"(3186040, 3186040)",+,insC5CD5D5-yqiHIG,TU0-13843
6449,cirAp1,TU00015,Promoters,"(2246929, 2246929)",-,cirA,TU00015
6450,metBp,TU0-3741,Promoters,"(4128636, 4128636)",+,metBL,TU0-3741
6451,fsaAp6,PM0-44645,Promoters,"(863530, 863530)",+,,
6452,tusp2,PM0-45007,Promoters,"(1684173, 1684173)",+,,
6453,ravAp,TU0-14031,Promoters,"(3931128, 3931128)",-,ravA-viaA,TU0-14031
6454,yfeZp3,PM0-45371,Promoters,"(2551921, 2551921)",-,,
6455,yhfLp5,PM0-45739,Promoters,"(3499311, 3499311)",+,,
6456,ybfHp,TU0-8375,Promoters,"(716641, 716641)",-,ybfHG,TU0-8375
6457,comRp,TU0-8684,Promoters,"(1168844, 1168844)",-,comR,TU0-8684
6458,prfCp,TU0-14217,Promoters,"(4609358, 4609358)",+,prfC,TU0-14217
6459,araBp,TU00214,Promoters,"(70075, 70075)",-,araBAD,TU00214
6460,ilvLp1,TU0-42516,Promoters,"(3950218, 3950218)",+,ilvL; ilvLXG_1G_2MEDA,TU0-42516; TU524
6461,ybiXp2,PM0-44628,Promoters,"(839274, 839274)",-,,
6462,ydfAp8,TU0-13329,Promoters,"(1648438, 1648438)",+,ydfABC,TU0-13329
6463,degQp1,TU0-13898,Promoters,"(3380654, 3380654)",+,degQS,TU0-13898
6464,insLp5,PM0-45355,Promoters,"(2514322, 2514322)",+,,
6465,envRp15,PM0-45723,Promoters,"(3413621, 3413621)",-,,
6466,macBp1,PM0-8730,Promoters,"(920094, 920094)",+,,
6467,ybaBp,TU0-3422,Promoters,"(493709, 493709)",+,ybaB-recR,TU0-3422
6468,hsdSp1,PM0-46091,Promoters,"(4581502, 4581502)",-,,
6469,ybaLp,TU0-12952,Promoters,"(503295, 503295)",-,ybaL,TU0-12952
6470,rphp,TU0-14696,Promoters,"(3816580, 3816580)",-,rph; rph-pyrE,TU0-14696; TU00334
6471,galMp4,PM0-44613,Promoters,"(788898, 788898)",-,,
6472,ydeIp1,PM0-44975,Promoters,"(1624516, 1624516)",-,,
6473,mlcp1,TU789,Promoters,"(1668603, 1668603)",-,mlc,TU789
6474,ygfZp,TU0-8749,Promoters,"(3041282, 3041282)",+,ygfZ,TU0-8749
6475,yfdFp7,PM0-45339,Promoters,"(2462984, 2462984)",+,,
6476,aaeRp7,PM0-45707,Promoters,"(3389461, 3389461)",+,,
6477,yebBp1,TU0-8245,Promoters,"(1946110, 1946110)",+,yebB,TU0-8245
6478,yjhUp8,PM0-46075,Promoters,"(4520540, 4520540)",-,,
6479,ecpBp2,TU0-14611,Promoters,"(310076, 310076)",-,ecpBCDE,TU0-14611
6480,pnpp,TU0-6654,Promoters,"(3311326, 3311326)",-,pnp,TU0-6654
6481,ybgOp3,PM0-44597,Promoters,"(749185, 749185)",-,,
6482,rpoDp1,TU00436,Promoters,"(3212473, 3212473)",+,rpoD,TU00436
6483,dtpDp5,PM0-44594,Promoters,"(742622, 742622)",-,,
6484,dosPp3,PM0-44956,Promoters,"(1565743, 1565743)",-,,
6485,yiaKp1,TU592,Promoters,"(3742674, 3742674)",+,yiaKLMNO-lyx-sgbHUE,TU592
6486,bepAp2,TU0-14645,Promoters,"(2616026, 2616026)",+,bepA-yfgD,TU0-14645
6487,nuoNp1,PM0-45320,Promoters,"(2391717, 2391717)",-,,
6488,rcsDp,TU0-14359,Promoters,"(2313452, 2313452)",+,rcsDB,TU0-14359
6489,yhcAp9,PM0-45688,Promoters,"(3362094, 3362094)",+,,
6490,ytfKp1,TU0-8146,Promoters,"(4439511, 4439511)",+,ytfK,TU0-8146
6491,lptFp6,PM0-46056,Promoters,"(4486122, 4486122)",+,,
6492,cspEp1,TU0-14576,Promoters,"(657147, 657147)",+,cspE,TU0-14576
6493,ungp,TU0-6515,Promoters,"(2716738, 2716738)",+,ung,TU0-6515
6494,ybeTp8,PM0-44578,Promoters,"(679416, 679416)",-,,
6495,acrAp,TU00233,Promoters,"(485698, 485698)",-,acrAB,TU00233
6496,pptAp7,PM0-44945,Promoters,"(1532858, 1532858)",+,,
6497,gatZp,TU0-14638,Promoters,"(2176432, 2176432)",-,gatZABCD,TU0-14638
6498,elaAp4,PM0-45304,Promoters,"(2381686, 2381686)",-,,
6499,xdhAp1,TU0-3145,Promoters,"(3000257, 3000257)",+,xdhABC,TU0-3145
6500,yhbUp7,PM0-45672,Promoters,"(3301279, 3301279)",+,,
6501,ompTp,TU0-7823,Promoters,"(585665, 585665)",-,ompT,TU0-7823
6502,ytfLp3,PM0-46040,Promoters,"(4441321, 4441321)",-,,
6503,osmFp2,TU0-14559,Promoters,,-,osmF-yehYXW,TU0-14559
6504,sbcBp,TU0-6513,Promoters,"(2082728, 2082728)",+,sbcB,TU0-6513
6505,lipBp3,PM0-44562,Promoters,"(662399, 662399)",-,,
6506,dadAp1,TU461,Promoters,"(1237509, 1237509)",+,dadAX,TU461
6507,ydcNp5,PM0-44929,Promoters,"(1506154, 1506154)",+,,
6508,yeaGp2,TU0-14632,Promoters,"(1866765, 1866765)",+,yeaGH,TU0-14632
6509,yfaLp3,PM0-45288,Promoters,"(2344265, 2344265)",-,,
6510,fiup,TU0-2521,Promoters,"(841648, 841648)",-,fiu,TU0-2521
6511,tsrp1,TU0-7,Promoters,"(4591412, 4591412)",+,tsr,TU0-7
6512,yraHp9,PM0-45659,Promoters,"(3287401, 3287401)",+,,
6513,rsgAp12,PM0-46024,Promoters,"(4391566, 4391566)",-,,
6514,raiAp,TU0-13677,Promoters,"(2737104, 2737104)",+,raiAZ,TU0-13677
6515,rplTp,TU0-8855,Promoters,"(1799763, 1799763)",-,rplT-pheM; rplT,TU0-8855; TU0-6657
6516,ybdHp7,PM0-44546,Promoters,"(633524, 633524)",-,,
6517,ydjOp4,PM0-46527,Promoters,"(1813348, 1813348)",-,,
6518,phrp,TU365,Promoters,"(739421, 739421)",+,phr,TU365
6519,ydcAp7,PM0-44913,Promoters,"(1491653, 1491653)",+,,
6520,ydfHp,TU0-13311,Promoters,"(1628326, 1628326)",+,ydfH,TU0-13311
6521,rplYp3,PM0-45273,Promoters,"(2282433, 2282433)",+,,
6522,gcdp1,TU0-2042,Promoters,"(141263, 141263)",-,gcd,TU0-2042
6523,agpp,TU0-7401,Promoters,"(1065559, 1065559)",+,agp,TU0-7401
6524,yhaJp7,PM0-45643,Promoters,"(3254261, 3254261)",-,,
6525,alsEp2,PM0-46008,Promoters,"(4308664, 4308664)",-,,
6526,rrlAp,TU0-14533,Promoters,,+,rrlA-rrfA,TU0-14533
6527,putPp3,TU121,Promoters,"(1079185, 1079185)",+,putP,TU121
